Galaxy,Distance,Sigma, DeltaSigma , K , B-V ,M,MBH, DeltaMBHL , DeltaMBHH , HT , Ref.  
NGC4649 , 16 ,  380.0  , 19.0 , 5.49 , 0.95  ,  11.5  , 4.7e+09 , 3.7e+09 , 5.8e+09 , E   
NGC4697 , 12 ,  177.0  , 8.0 , 6.37 , 0.88  ,  10.9  , 2.0e+08 , 1.5e+08 , 2.5e+08 , E   
NGC4751 , 32 ,  355.0  , 14.0 , 8.24 , 0.98  ,  11.0  , 1.7e+09 , 1.5e+09 , 1.8e+09 , E   
NGC4889 , 102 ,  347.0  , 5.0 , 8.41 , 1.03  ,  11.9  , 2.1e+10 , 4.9e+09 , 3.7e+10 , E   
NGC5077 , 38 ,  222.0  , 11.0 , 8.22 , 0.99  ,  11.2  , 8.6e+08 , 4.1e+08 , 1.3e+09 , E   
NGC5328 , 64 ,  333.0  , 2.0 , 8.49 , 1.00  ,  11.5  , 4.8e+09 , 2.8e+09 , 5.6e+09 , E   
NGC5516 , 55 ,  328.0  , 11.0 , 8.31 , 0.99  ,  11.4  , 3.7e+09 , 2.6e+09 , 3.8e+09 , E   
NGC5576 , 25 ,  183.0  , 9.0 , 7.83 , 0.86  ,  10.9  , 2.7e+08 , 1.9e+08 , 3.4e+08 , E   
NGC5845 , 25 ,  239.0  , 11.0 , 9.11 , 0.97  ,  10.4  , 4.9e+08 , 3.3e+08 , 6.4e+08 , E   
NGC6086 , 138 ,  318.0  , 2.0 , 9.97 , 0.96  ,  11.5  , 3.7e+09 , 2.6e+09 , 5.5e+09 , E   
NGC6861 , 28 ,  389.0  , 3.0 , 7.71 , 0.96  ,  11.1  , 2.1e+09 , 2.0e+09 , 2.7e+09 , E   
NGC7619 , 53 ,  292.0  , 5.0 , 8.03 , 0.97  ,  11.5  , 2.3e+09 , 2.2e+09 , 3.4e+09 , E   
NGC7768 , 116 ,  257.0  , 26.0 , 9.34 , 0.91  ,  11.6  , 1.3e+09 , 9.3e+08 , 1.8e+09 , E   
IC1459 , 28 ,  331.0  , 5.0 , 6.81 , 0.97  ,  11.5  , 2.5e+09 , 2.3e+09 , 3.0e+09 , E   
NGC1316 , 20 ,  226.0  , 9.0 , 5.32 , 0.87  ,  11.8  , 1.7e+08 , 1.4e+08 , 2.0e+08 , E   
NGC2960 , 67 ,  166.0  , 16.0 , 9.78 , 0.88  ,  11.0  , 1.1e+07 , 1.0e+07 , 1.1e+07 , E   
NGC4382 , 17 ,  182.0  , 5.0 , 5.76 , 0.86  ,  11.4  , 1.3e+07 , 1.0e+07 , 2.2e+08 , E   
NGC5128 , 3 ,  150.0  , 7.0 , 3.49 , 0.90  ,  11.0  , 5.7e+07 , 4.6e+07 , 6.7e+07 , E   
NGC2778 , 23 ,  175.0  , 8.0 , 9.51 , 0.91  ,  10.2  , 1.4e+07 , 1.0e+07 , 2.9e+07 , E   
NGC3607 , 22 ,  229.0  , 11.0 , 6.99 , 0.91  ,  11.2  , 1.4e+08 , 9.0e+07 , 1.8e+08 , E   
NGC4261 , 32 ,  315.0  , 15.0 , 6.94 , 0.97  ,  11.5  , 5.3e+08 , 4.2e+08 , 6.4e+08 , E   
NGC4459 , 16 ,  167.0  , 8.0 , 7.15 , 0.91  ,  10.8  , 7.0e+07 , 5.6e+07 , 8.3e+07 , E   
NGC7052 , 70 ,  266.0  , 13.0 , 8.57 , 0.86  ,  11.5  , 4.0e+08 , 2.4e+08 , 6.7e+08 , E   
A1836BCG , 152 ,  288.0  , 14.0 , 9.99 , 1.04  ,  11.6  , 3.7e+09 , 3.2e+09 , 4.2e+09 , E   
A3565BCG , 49 ,  322.0  , 16.0 , 7.50 , 0.96  ,  11.6  , 1.3e+09 , 1.1e+09 , 1.5e+09 , E  
